"","PdDistrict","X","Y","District"
"102","CENTRAL",-122.418533972367,37.8049977350153,"Russian Hill"
"103","SOUTHERN",-122.415448759562,37.778293520129,"Downtown/Civic Center"
"106","CENTRAL",-122.407008625662,37.7996968891966,"North Beach"
"107","NORTHERN",-122.422540554174,37.7869088658022,"Western Addition"
"108","BAYVIEW",-122.3818379303,37.7311043532362,"Bayview"
"112","CENTRAL",-122.415632654294,37.7863587808386,"Downtown/Civic Center"
"113","RICHMOND",-122.466204667893,37.7725405391593,"Golden Gate Park"
"115","CENTRAL",-122.409031505971,37.7992531925554,"Russian Hill"
"116","INGLESIDE",-122.422672192368,37.7439432704307,"Bernal Heights"
"117","TENDERLOIN",-122.414242955907,37.7837240254478,"Downtown/Civic Center"
"119","SOUTHERN",-122.415658074801,37.7753924753701,"South of Market"
"120","MISSION",-122.419058868103,37.7594227506297,"Mission"
"121","INGLESIDE",-122.416824272035,37.7348885156241,"Bernal Heights"
"122","SOUTHERN",-122.41248326348,37.7706305910776,"South of Market"
"123","MISSION",-122.403524795218,37.7544534411473,"Mission"
"124","TENDERLOIN",-122.410135236377,37.7841889075267,"Downtown/Civic Center"
"125","CENTRAL",-122.413298481169,37.7870578243427,"Downtown/Civic Center"
"126","SOUTHERN",-122.407693108529,37.7801630691196,"South of Market"
"127","NORTHERN",-122.431979576386,37.7800478529923,"Western Addition"
"128","INGLESIDE",-122.413156703091,37.7371067513459,"Bernal Heights"
"129","INGLESIDE",-122.423466428334,37.7407283718019,"Bernal Heights"
"130","NORTHERN",-122.425635136646,37.7774387764148,"Western Addition"
"131","CENTRAL",-122.416259618965,37.8061861212668,"North Beach"
"132","RICHMOND",-122.499730086785,37.7803500268397,"Outer Richmond"
"134","MISSION",-122.430882581855,37.7643725576969,"Castro/Upper Market"
"135","TENDERLOIN",-122.413174494396,37.786719015554,"Downtown/Civic Center"
"136","INGLESIDE",-122.435041282959,37.7242560470421,"Outer Mission"
"137","INGLESIDE",-122.417450548901,37.7392070733909,"Bernal Heights"
"138","NORTHERN",-122.431927470567,37.7707315288345,"Western Addition"
"140","CENTRAL",-122.407539774357,37.7922491772578,"Chinatown"
"141","SOUTHERN",-122.405832474482,37.7857446545609,"Financial District"
"142","PARK",-122.450555872513,37.7753351819421,"Inner Richmond"
"143","SOUTHERN",-122.396265814237,37.7834404321177,"South of Market"
"144","CENTRAL",-122.407152172242,37.7903655795398,"Chinatown"
"145","MISSION",-122.426589352555,37.768412165449,"Mission"
"146","INGLESIDE",-122.433040844627,37.7185345219738,"Excelsior"
"147","NORTHERN",-122.431553200196,37.7863039907166,"Western Addition"
"148","SOUTHERN",-122.403404791479,37.775420706711,"South of Market"
"149","INGLESIDE",-122.434764286692,37.7226161363136,"Excelsior"
"150","BAYVIEW",-122.404259582016,37.7387127054982,"Bayview"
"151","INGLESIDE",-122.421228786449,37.7452607746654,"Bernal Heights"
"152","SOUTHERN",-122.395771566799,37.7924309627476,"Financial District"
"153","PARK",-122.445069215681,37.7628549658127,"Castro/Upper Market"
"154","CENTRAL",-122.41777148469,37.8015056603454,"Russian Hill"
"155","RICHMOND",-122.510225749052,37.7672442209616,"Golden Gate Park"
"156","BAYVIEW",-122.375989158092,37.7301576924252,"Bayview"
"157","INGLESIDE",-122.454507198644,37.7411133114967,"West of Twin Peaks"
"158","INGLESIDE",-122.447801977885,37.7417697643405,"West of Twin Peaks"
"159","NORTHERN",-122.434689351674,37.7888538411014,"Pacific Heights"
"161","INGLESIDE",-122.431371314076,37.7219675742406,"Excelsior"
"162","TENDERLOIN",-122.414317857881,37.7799444052046,"Downtown/Civic Center"
"163","SOUTHERN",-122.412515341356,37.7804777480508,"Downtown/Civic Center"
"165","CENTRAL",-122.421024261905,37.8047295639777,"Russian Hill"
"166","PARK",-122.440879521853,37.7775321935218,"Western Addition"
"167","CENTRAL",-122.419616109671,37.8019942438049,"Russian Hill"
"168","BAYVIEW",-122.397746771529,37.759992388001,"Potrero Hill"
"169","MISSION",-122.406604919508,37.7571580431915,"Mission"
"170","BAYVIEW",-122.39627030124,37.7504525015629,"Potrero Hill"
"172","TENDERLOIN",-122.407845374111,37.7850943210103,"Downtown/Civic Center"
"173","NORTHERN",-122.423803103549,37.7889657418794,"Western Addition"
"174","NORTHERN",-122.428087689719,37.7895820615822,"Western Addition"
"175","BAYVIEW",-122.392065177137,37.7299735987242,"Bayview"
"176","TENDERLOIN",-122.414743835382,37.778719262789,"South of Market"
"177","NORTHERN",-122.421332684633,37.7770902743669,"Downtown/Civic Center"
"178","TENDERLOIN",-122.415317966992,37.7807179285998,"Downtown/Civic Center"
"179","CENTRAL",-122.42384881373,37.8062214269911,"Russian Hill"
"180","NORTHERN",-122.431369772433,37.7853730435472,"Western Addition"
"181","SOUTHERN",-122.406481972743,37.7827317884887,"South of Market"
"182","SOUTHERN",-122.402343659494,37.7811666837563,"South of Market"
"183","TENDERLOIN",-122.415642487855,37.7788323158792,"Downtown/Civic Center"
"184","SOUTHERN",-122.409795194505,37.7800356268394,"South of Market"
"185","PARK",-122.449122960735,37.7697840925361,"Haight Ashbury"
"187","NORTHERN",-122.417777932619,37.7803089893403,"Downtown/Civic Center"
"189","RICHMOND",-122.465208704996,37.7726100500907,"Golden Gate Park"
"190","INGLESIDE",-122.458342785599,37.7297752677777,"West of Twin Peaks"
"192","RICHMOND",-122.505883405539,37.7743688309532,"Outer Richmond"
"193","MISSION",-122.414634473592,37.7525276230522,"Mission"
"194","TARAVAL",-122.46070943325,37.7249316978293,"West of Twin Peaks"
"195","TENDERLOIN",-122.405895369887,37.7867342184983,"Financial District"
"198","NORTHERN",-122.44827840533,37.804271887891,"Marina"
"202","INGLESIDE",-122.424276475396,37.7272929954166,"Excelsior"
"203","BAYVIEW",-122.389517648036,37.7724682400061,"South of Market"
"204","CENTRAL",-122.399739729147,37.7950325941141,"Financial District"
"208","NORTHERN",-122.431863773945,37.7862086748826,"Western Addition"
"209","INGLESIDE",-122.44506993598,37.733750100739,"Outer Mission"
"210","INGLESIDE",-122.423071299928,37.7385490450902,"Bernal Heights"
"211","TARAVAL",-122.484545659615,37.7351126869922,"Lakeshore"
"212","CENTRAL",-122.412803753,37.8057739875696,"North Beach"
"214","TENDERLOIN",-122.415508242782,37.7816542806076,"Downtown/Civic Center"
"215","SOUTHERN",-122.395163154488,37.7843096998676,"South of Market"
"217","CENTRAL",-122.417970141118,37.8022023203709,"Russian Hill"
"218","TARAVAL",-122.482898694106,37.7539550259728,"Outer Sunset"
"220","NORTHERN",-122.417982021136,37.7812853695649,"Downtown/Civic Center"
"221","MISSION",-122.419515708406,37.7634292328496,"Mission"
"225","NORTHERN",-122.434225174063,37.7911685255545,"Pacific Heights"
"227","NORTHERN",-122.434361867112,37.7911511886642,"Pacific Heights"
"228","INGLESIDE",-122.444854141874,37.7344981112967,"Outer Mission"
"229","SOUTHERN",-122.399545336565,37.788129179436,"Financial District"
"231","TENDERLOIN",-122.409313111431,37.7843478513151,"Downtown/Civic Center"
"232","RICHMOND",-122.486878332136,37.7799923701321,"Outer Richmond"
"233","NORTHERN",-122.423076727309,37.7773502636996,"Downtown/Civic Center"
"234","SOUTHERN",-122.404270179486,37.7844788538745,"South of Market"
"235","TARAVAL",-122.477696048974,37.7635915438758,"Outer Sunset"
"236","BAYVIEW",-122.374019331833,37.729203356539,"Bayview"
"238","CENTRAL",-122.406886503606,37.7887345763527,"Downtown/Civic Center"
"241","TARAVAL",-122.475655483809,37.7654140465005,"Inner Sunset"
"242","BAYVIEW",-122.397426194726,37.7684401585615,"South of Market"
"243","INGLESIDE",-122.424347725679,37.7450456172368,"Bernal Heights"
"245","NORTHERN",-122.419888578154,37.7907353817044,"Nob Hill"
"246","RICHMOND",-122.472048255203,37.7853902153809,"Inner Richmond"
"249","CENTRAL",-122.409791662293,37.7985083480435,"Russian Hill"
"250","INGLESIDE",-122.420529801066,37.7110023300609,"Visitacion Valley"
"251","SOUTHERN",-122.40468540987,37.7706290272637,"South of Market"
"252","PARK",-122.436404132126,37.7722545445498,"Western Addition"
"253","SOUTHERN",-122.409011206639,37.7811340568243,"South of Market"
"254","NORTHERN",-122.417367329727,37.7828626236813,"Downtown/Civic Center"
"255","SOUTHERN",-122.413045971966,37.7738617771611,"South of Market"
"256","CENTRAL",-122.412004250282,37.8014864742879,"Russian Hill"
"257","INGLESIDE",-122.436266870505,37.7427715592858,"Noe Valley"
"258","NORTHERN",-122.419274801449,37.7835680535207,"Downtown/Civic Center"
"259","TARAVAL",-122.487185865354,37.7528149846179,"Outer Sunset"
"260","CENTRAL",-122.414576897,37.7894768075723,"Nob Hill"
"262","MISSION",-122.421733767763,37.7632996945938,"Mission"
"263","CENTRAL",-122.413705058875,37.7890640478934,"Downtown/Civic Center"
"265","NORTHERN",-122.418382008607,37.7832583770949,"Downtown/Civic Center"
"266","CENTRAL",-122.420222702716,37.7989964986923,"Russian Hill"
"267","MISSION",-122.419520367886,37.764228935718,"Mission"
"268","RICHMOND",-122.484873334981,37.7820231786465,"Outer Richmond"
"269","MISSION",-122.417499429971,37.753084671409,"Mission"
"270","PARK",-122.45353456066,37.7691662978052,"Haight Ashbury"
"273","INGLESIDE",-122.413689986582,37.7347306984732,"Bernal Heights"
"275","INGLESIDE",-122.422865684118,37.7394765722027,"Bernal Heights"
"276","CENTRAL",-122.412663134779,37.8006355477605,"Russian Hill"
"278","MISSION",-122.419350173229,37.7610160912056,"Mission"
"281","INGLESIDE",-122.449674980499,37.709762526111,"Crocker Amazon"
"282","NORTHERN",-122.425416290071,37.7766280227851,"Western Addition"
"283","TENDERLOIN",-122.412784096502,37.7848656939526,"Downtown/Civic Center"
"285","SOUTHERN",-122.395308650567,37.7792970189766,"South of Market"
"286","PARK",-122.438741737368,37.7796593150258,"Western Addition"
"287","TARAVAL",-122.46779680272,37.7555414681071,"Inner Sunset"
"288","CENTRAL",-122.416199204502,37.7891587712961,"Downtown/Civic Center"
"289","NORTHERN",-122.423413057205,37.795737109246,"Russian Hill"
"290","NORTHERN",-122.421011927709,37.7838226942199,"Downtown/Civic Center"
"291","CENTRAL",-122.413288872508,37.7914655329997,"Nob Hill"
"292","MISSION",-122.42249041028,37.7480144418715,"Mission"
"293","MISSION",-122.426955631709,37.769247063207,"Castro/Upper Market"
"294","INGLESIDE",-122.417144802399,37.7121502932531,"Visitacion Valley"
"295","PARK",-122.438098378037,37.7806388583762,"Western Addition"
"296","MISSION",-122.414089000708,37.7525050785758,"Mission"
"298","BAYVIEW",-122.404599389916,37.7421188919731,"Bayview"
"299","MISSION",-122.405455789224,37.7543370820935,"Mission"
"301","SOUTHERN",-122.393228290724,37.7919510439646,"Financial District"
"302","PARK",-122.444846841766,37.7683459034253,"Haight Ashbury"
"303","CENTRAL",-122.406502930891,37.8012653191185,"North Beach"
"304","SOUTHERN",-122.409774801363,37.7764436831324,"South of Market"
"305","TENDERLOIN",-122.409523740653,37.7857602954934,"Downtown/Civic Center"
"306","BAYVIEW",-122.406092270691,37.7323483235069,"Excelsior"
"307","RICHMOND",-122.462138602289,37.78012729919,"Inner Richmond"
"308","MISSION",-122.406327628754,37.768498346177,"Mission"
"309","RICHMOND",-122.508631807014,37.7760694890282,"Outer Richmond"
"310","SOUTHERN",-122.407388973087,37.7756106325157,"South of Market"
"311","RICHMOND",-122.455468425157,37.786210973675,"Presidio Heights"
"312","PARK",-122.448161924701,37.7718254753062,"Haight Ashbury"
"313","MISSION",-122.405322481365,37.7536925213353,"Mission"
"315","NORTHERN",-122.423168378741,37.7778157444577,"Downtown/Civic Center"
"318","NORTHERN",-122.422348143857,37.7778617759699,"Downtown/Civic Center"
"320","PARK",-122.443618523246,37.7639520345983,"Castro/Upper Market"
"322","NORTHERN",-122.42037536822,37.7848006211991,"Downtown/Civic Center"
"324","TENDERLOIN",-122.412224164736,37.7820729312029,"Downtown/Civic Center"
"328","SOUTHERN",-122.419666717917,37.7746823329875,"South of Market"
"331","INGLESIDE",-122.426114636941,37.7339541275523,"Bernal Heights"
"334","TARAVAL",-122.45121003664,37.7195724418996,"Ocean View"
"335","NORTHERN",-122.419858277339,37.786137125238,"Downtown/Civic Center"
"336","TARAVAL",-122.474857450906,37.7608398098949,"Inner Sunset"
"338","BAYVIEW",-122.393627208249,37.763662802891,"Potrero Hill"
"339","TARAVAL",-122.491524311669,37.7386133211681,"Parkside"
"344","CENTRAL",-122.406977563692,37.789918101686,"Financial District"
"345","TARAVAL",-122.477960327299,37.7457389429655,"Parkside"
"346","TARAVAL",-122.506346594257,37.7510501763592,"Outer Sunset"
"347","TARAVAL",-122.490561948744,37.7405222499124,"Parkside"
"348","INGLESIDE",-122.43363939685,37.7147533184612,"Excelsior"
"349","CENTRAL",-122.414010814727,37.7866770011071,"Downtown/Civic Center"
"350","CENTRAL",-122.41417943719,37.787502483207,"Downtown/Civic Center"
"351","SOUTHERN",-122.402027706948,37.7862483456629,"Financial District"
"352","TARAVAL",-122.475287886078,37.7374527164974,"Lakeshore"
"354","INGLESIDE",-122.418732763058,37.7474955268543,"Bernal Heights"
"355","CENTRAL",-122.415535654454,37.7897874138811,"Nob Hill"
"356","SOUTHERN",-122.402527594665,37.7760382838346,"South of Market"
"357","MISSION",-122.423803001901,37.7615655928045,"Mission"
"358","RICHMOND",-122.469766223526,37.7817135599476,"Inner Richmond"
"360","TENDERLOIN",-122.411800134753,37.7840890366868,"Downtown/Civic Center"
"362","INGLESIDE",-122.43597721703,37.7231288306727,"Excelsior"
"363","PARK",-122.438901450781,37.7719900145618,"Haight Ashbury"
"364","BAYVIEW",-122.397201937993,37.7535351242762,"Potrero Hill"
"365","MISSION",-122.419004027906,37.7635175983002,"Mission"
"366","PARK",-122.452839772389,37.7745145380854,"Haight Ashbury"
"367","TENDERLOIN",-122.408270724034,37.7854941424186,"Downtown/Civic Center"
"368","INGLESIDE",-122.404042691685,37.7161490218345,"Visitacion Valley"
"369","TARAVAL",-122.457441212767,37.7098427794823,"Ocean View"
"370","BAYVIEW",-122.388274982326,37.7400467439333,"Bayview"
"371","TARAVAL",-122.476555446478,37.7561080687595,"Outer Sunset"
"372","SOUTHERN",-122.398374332486,37.7834196017163,"South of Market"
"373","MISSION",-122.427682264817,37.7683148008502,"Castro/Upper Market"
"374","MISSION",-122.419390669989,37.7497536971801,"Mission"
"375","CENTRAL",-122.403915681571,37.790538993725,"Financial District"
"378","MISSION",-122.406338412685,37.7530042877223,"Mission"
"380","NORTHERN",-122.419930111611,37.7868262082156,"Downtown/Civic Center"
"382","CENTRAL",-122.402204951701,37.7979674610453,"Financial District"
"385","INGLESIDE",-122.435621772842,37.7234913181355,"Excelsior"
"386","RICHMOND",-122.437596963153,37.7865485866412,"Western Addition"
"387","INGLESIDE",-122.449859387875,37.7413509381586,"West of Twin Peaks"
"388","INGLESIDE",-122.439811372188,37.7100964828588,"Crocker Amazon"
"389","TARAVAL",-122.466654417113,37.7142216417375,"Ocean View"
"390","TARAVAL",-122.466861872366,37.7565339497722,"Inner Sunset"
"391","NORTHERN",-122.43120329125,37.7684456939511,"Castro/Upper Market"
"392","SOUTHERN",-122.392889145798,37.7935385958356,"Financial District"
"393","CENTRAL",-122.416280805077,37.8062946812333,"North Beach"
"394","RICHMOND",-122.465352199094,37.7819129193277,"Inner Richmond"
"395","INGLESIDE",-122.420526309078,37.7447254713657,"Bernal Heights"
"396","MISSION",-122.422201579793,37.7681403836513,"Mission"
"397","TARAVAL",-122.455615861538,37.7238590120011,"West of Twin Peaks"
"398","CENTRAL",-122.401710771269,37.8003670398161,"North Beach"
"400","BAYVIEW",-122.40390700421,37.7282055879734,"Excelsior"
"401","SOUTHERN",-122.420254960348,37.7743581710701,"South of Market"
"403","SOUTHERN",-122.397034190089,37.7928236509312,"Financial District"
"404","INGLESIDE",-122.420864146521,37.71219982598,"Visitacion Valley"
"405","TARAVAL",-122.502604851077,37.7446530029634,"Parkside"
"407","TARAVAL",-122.504748848041,37.7445586174681,"Parkside"
"408","INGLESIDE",-122.438642401146,37.7216263690423,"Outer Mission"
"409","MISSION",-122.424844994143,37.748632522172,"Noe Valley"
"411","INGLESIDE",-122.408262089626,37.7467796393306,"Bernal Heights"
"413","BAYVIEW",-122.390731675467,37.7539240730786,"Potrero Hill"
"414","MISSION",-122.435296235018,37.7520797386707,"Noe Valley"
"415","PARK",-122.446432100907,37.750241057883,"Twin Peaks"
"416","BAYVIEW",-122.390521939554,37.7375439838695,"Bayview"
"417","CENTRAL",-122.42219944483,37.8064351103515,"Russian Hill"
"419","TARAVAL",-122.46592276355,37.7574923528497,"Inner Sunset"
"420","NORTHERN",-122.42377164009,37.7768378928452,"Western Addition"
"421","TARAVAL",-122.475647460786,37.7285280627465,"Lakeshore"
"422","CENTRAL",-122.406000218489,37.7885406192723,"Financial District"
"423","SOUTHERN",-122.397713226445,37.7774696662398,"South of Market"
"424","INGLESIDE",-122.432513268341,37.7377582824808,"Glen Park"
"425","SOUTHERN",-122.393110640713,37.7773103219698,"South of Market"
"426","SOUTHERN",-122.415444159886,37.7780245674641,"South of Market"
"427","RICHMOND",-122.472707844576,37.7777528844693,"Inner Richmond"
"430","TENDERLOIN",-122.410955248906,37.7841399509594,"Downtown/Civic Center"
"431","MISSION",-122.428693725184,37.7675315414279,"Castro/Upper Market"
"433","MISSION",-122.433081285425,37.7522124088183,"Noe Valley"
"434","INGLESIDE",-122.44976890956,37.7414340370897,"West of Twin Peaks"
"436","NORTHERN",-122.4345637373,37.7841504915887,"Western Addition"
"437","SOUTHERN",-122.388379873919,37.7833104067015,"South of Market"
"440","CENTRAL",-122.416514507406,37.8033467206612,"Russian Hill"
"441","CENTRAL",-122.415654629547,37.7864672409674,"Downtown/Civic Center"
"443","MISSION",-122.415686183131,37.7636111708805,"Mission"
"444","TARAVAL",-122.50180154774,37.7465564475878,"Outer Sunset"
"445","MISSION",-122.419138917835,37.7485731311009,"Mission"
"446","CENTRAL",-122.408507461375,37.7910926840668,"Chinatown"
"448","BAYVIEW",-122.400391534345,37.7623464417436,"Potrero Hill"
"449","CENTRAL",-122.402686064513,37.7984277959861,"North Beach"
"450","BAYVIEW",-122.386100703211,37.7380020117208,"Bayview"
"451","PARK",-122.437591748763,37.7745506356497,"Western Addition"
"452","SOUTHERN",-122.404407887961,37.7810759636856,"South of Market"
"453","SOUTHERN",-122.398063445395,37.7795658460293,"South of Market"
"455","RICHMOND",-122.460658164087,37.7764339282581,"Inner Richmond"
"456","SOUTHERN",-122.394985875925,37.7770909534023,"South of Market"
"457","CENTRAL",-122.407612885387,37.7884486019705,"Downtown/Civic Center"
"459","INGLESIDE",-122.429614852533,37.730269701982,"Excelsior"
"460","TENDERLOIN",-122.407854234538,37.7854922044602,"Downtown/Civic Center"
"463","SOUTHERN",-122.412349694893,37.775555848279,"South of Market"
"464","PARK",-122.442128945417,37.7642555194629,"Castro/Upper Market"
"465","RICHMOND",-122.481516526312,37.7802227066368,"Outer Richmond"
"467","MISSION",-122.417028392106,37.7603656931573,"Mission"
"470","SOUTHERN",-122.405934320038,37.782295644598,"South of Market"
"471","TENDERLOIN",-122.416075285051,37.7844496612791,"Downtown/Civic Center"
"472","SOUTHERN",-122.403070000847,37.7852686309087,"Financial District"
"475","MISSION",-122.418587172219,37.7530186537446,"Mission"
"476","PARK",-122.445652525154,37.7759612670837,"Western Addition"
"477","TENDERLOIN",-122.407222440955,37.7864562588009,"Downtown/Civic Center"
"478","MISSION",-122.403888410312,37.7530945718721,"Mission"
"479","SOUTHERN",-122.408710606663,37.7809706722053,"South of Market"
"480","TARAVAL",-122.46177141337,37.7235847920198,"Ocean View"
"481","SOUTHERN",-122.411071423064,37.7817511307229,"Downtown/Civic Center"
"484","CENTRAL",-122.405254463024,37.7892525040522,"Financial District"
"485","TENDERLOIN",-122.411742515582,37.7858882195106,"Downtown/Civic Center"
"486","TARAVAL",-122.469299665969,37.726691210538,"Ocean View"
"487","TARAVAL",-122.506740892168,37.7407394820048,"Parkside"
"488","NORTHERN",-122.418500584434,37.7764380944444,"Downtown/Civic Center"
"490","RICHMOND",-122.476164932773,37.779493149815,"Inner Richmond"
"491","MISSION",-122.441742151851,37.751689279742,"Noe Valley"
"492","NORTHERN",-122.427721742614,37.7878087017131,"Western Addition"
"495","MISSION",-122.412997488068,37.7525722462226,"Mission"
"496","INGLESIDE",-122.444707063455,37.7249307267936,"Outer Mission"
"498","RICHMOND",-122.47938403981,37.7803326972451,"Outer Richmond"
"499","SOUTHERN",-122.415064887666,37.7764354063246,"South of Market"
"501","NORTHERN",-122.428773199378,37.7847222825051,"Western Addition"
"502","CENTRAL",-122.414473958366,37.7932218232083,"Nob Hill"
"504","CENTRAL",-122.410845624227,37.7923158747647,"Nob Hill"
"505","INGLESIDE",-122.406597204511,37.7434834450064,"Bernal Heights"
"507","INGLESIDE",-122.429801668764,37.7303819548591,"Outer Mission"
"508","BAYVIEW",-122.402767417355,37.7482203413295,"Bayview"
"510","MISSION",-122.411093822635,37.7610475742041,"Mission"
"513","PARK",-122.433409294261,37.7674598906238,"Castro/Upper Market"
"514","TARAVAL",-122.485226315294,37.7146945275773,"Lakeshore"
"515","BAYVIEW",-122.395106891925,37.7566305834521,"Potrero Hill"
"517","SOUTHERN",-122.389113595272,37.7857281880557,"South of Market"
"523","SOUTHERN",-122.410065781604,37.7749906792593,"South of Market"
"524","PARK",-122.438928631199,37.7805874490401,"Western Addition"
"525","INGLESIDE",-122.409505132544,37.7404715240942,"Bernal Heights"
"529","NORTHERN",-122.421203512,37.7854812046447,"Downtown/Civic Center"
"530","BAYVIEW",-122.389874469393,37.7754128608632,"South of Market"
"531","MISSION",-122.409529913278,37.7657184395282,"Mission"
"533","TARAVAL",-122.46928727815,37.7105916517348,"Ocean View"
